,Unnamed: 0,index,archive_index_number,timestamp,non_event_flag,over_freq_flag,over_freq_index,under_freq_flag,under_freq_index,ambig_flag,severity_desc,file_name,ABC_values,Event Check
3688,3688,48413,48413,2019-12-12 02:31:13.467000,False,True,1440.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-12-02-36_10914.csv,"[nan, nan, nan]",
3689,3689,48420,48420,2019-12-12 03:04:49.467000,False,True,6034.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-12-03-09_10921.csv,"[nan, nan, nan]",
3690,3690,48426,48426,2019-12-12 03:33:37.467000,False,True,1855.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-12-03-38_10927.csv,"[nan, nan, nan]",
3691,3691,48434,48434,2019-12-12 04:12:01.467000,False,True,1761.0,True,5.0,True,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-12-04-16_10935.csv,"[nan, nan, nan]",
3692,3692,48435,48435,2019-12-12 04:16:49.467000,False,False,,True,1353.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-12-04-21_10936.csv,"[nan, nan, nan]",
3693,3693,48443,48443,2019-12-12 04:55:13.467000,False,False,,True,14386.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-12-05-00_10944.csv,"[nan, nan, nan]",
3694,3694,48463,48463,2019-12-12 06:31:13.467000,False,True,8060.0,True,6048.0,True,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-12-06-36_10964.csv,"[nan, nan, nan]",
3695,3695,48467,48467,2019-12-12 06:50:25.467000,False,True,12201.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-12-06-55_10968.csv,"[nan, nan, nan]",
3696,3696,48470,48470,2019-12-12 07:04:49.467000,False,False,,True,356.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-12-07-09_10971.csv,"[nan, nan, nan]",
3697,3697,48477,48477,2019-12-12 07:38:25.467000,False,False,,True,3896.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-12-07-43_10978.csv,"[nan, nan, nan]",
3698,3698,48506,48506,2019-12-12 09:57:37.467000,False,False,,True,0.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-12-10-02_11007.csv,"[nan, nan, nan]",
3699,3699,48521,48521,2019-12-12 11:09:37.467000,False,True,4318.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-12-11-14_11022.csv,"[nan, nan, nan]",
3700,3700,48530,48530,2019-12-12 11:52:49.467000,False,True,0.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-12-11-57_11031.csv,"[nan, nan, nan]",
3701,3701,48532,48532,2019-12-12 12:02:25.467000,False,True,7.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-12-12-07_11033.csv,"[nan, nan, nan]",
3702,3702,48570,48570,2019-12-12 15:04:49.467000,False,False,,True,0.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-12-15-09_11071.csv,"[nan, nan, nan]",
3703,3703,48571,48571,2019-12-12 15:09:37.467000,False,False,,True,0.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-12-15-14_11072.csv,"[nan, nan, nan]",
3704,3704,48572,48572,2019-12-12 15:14:25.467000,False,False,,True,987.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-12-15-19_11073.csv,"[nan, nan, nan]",
3705,3705,48575,48575,2019-12-12 15:28:49.467000,False,True,7604.0,True,90.0,True,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-12-15-33_11076.csv,"[nan, nan, nan]",
3706,3706,48580,48580,2019-12-12 15:52:49.467000,False,False,,True,2062.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-12-15-57_11081.csv,"[nan, nan, nan]",
3707,3707,48592,48592,2019-12-12 16:50:25.467000,False,True,9371.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-12-16-55_11093.csv,"[nan, nan, nan]",
3708,3708,48594,48594,2019-12-12 17:00:01.467000,False,True,0.0,True,11404.0,True,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-12-17-04_11095.csv,"[nan, nan, nan]",
3709,3709,48604,48604,2019-12-12 17:48:01.467000,False,True,4789.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-12-17-52_11105.csv,"[nan, nan, nan]",
3710,3710,48613,48613,2019-12-12 18:31:13.467000,False,False,,True,4286.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-12-18-36_11114.csv,"[nan, nan, nan]",
3711,3711,48615,48615,2019-12-12 18:40:49.467000,False,True,1367.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-12-18-45_11116.csv,"[nan, nan, nan]",
3712,3712,48665,48665,2019-12-12 22:40:49.467000,False,True,169.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-12-22-45_11166.csv,"[nan, nan, nan]",
3713,3713,48668,48668,2019-12-12 22:55:13.467000,False,False,,True,13853.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-12-23-00_11169.csv,"[nan, nan, nan]",
3714,3714,48681,48681,2019-12-12 23:57:37.467000,False,False,,True,8029.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-13-00-02_11182.csv,"[nan, nan, nan]",
3715,3715,48699,48699,2019-12-13 01:24:01.467000,False,True,0.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-13-01-28_11200.csv,"[nan, nan, nan]",
3716,3716,48717,48717,2019-12-13 02:50:25.467000,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-13-02-55_11218.csv,"[nan, nan, nan]",
3717,3717,48718,48718,2019-12-13 02:55:13.467000,False,True,6428.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-13-03-00_11219.csv,"[nan, nan, nan]",
3718,3718,48728,48728,2019-12-13 03:43:13.467000,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-13-03-48_11229.csv,"[nan, nan, nan]",
3719,3719,48738,48738,2019-12-13 04:31:13.467000,False,False,,True,1671.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-13-04-36_11239.csv,"[nan, nan, nan]",
3720,3720,48765,48765,2019-12-13 06:40:49.467000,False,False,,True,0.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-13-06-45_11266.csv,"[nan, nan, nan]",
3721,3721,48767,48767,2019-12-13 06:50:25.467000,False,False,,True,0.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-13-06-55_11268.csv,"[nan, nan, nan]",
3722,3722,48768,48768,2019-12-13 06:55:13.467000,False,False,,True,2163.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-13-07-00_11269.csv,"[nan, nan, nan]",
3723,3723,48778,48778,2019-12-13 07:43:13.467000,False,False,,True,188.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-13-07-48_11279.csv,"[nan, nan, nan]",
3724,3724,48780,48780,2019-12-13 07:52:49.467000,False,True,6985.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-13-07-57_11281.csv,"[nan, nan, nan]",
3725,3725,48796,48796,2019-12-13 09:09:37.467000,False,True,2106.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-13-09-14_11297.csv,"[nan, nan, nan]",
