,49640,2019-12-30 07:38:25.467000,False,False.1,nan,False.2,nan.1,False.3,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-07-43_16378.csv,"[nan, nan, nan]",Event Check
35,49676,2019-12-30 10:31:13.467000,False,True,291.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-10-36_16414.csv,"[nan, nan, nan]",
36,49677,2019-12-30 10:36:01.467000,False,True,5740.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-10-40_16415.csv,"[nan, nan, nan]",
37,49678,2019-12-30 10:40:49.467000,False,True,3325.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-10-45_16416.csv,"[nan, nan, nan]",
38,49679,2019-12-30 10:45:37.467000,False,True,0.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-10-50_16417.csv,"[nan, nan, nan]",
39,49680,2019-12-30 10:50:25.467000,False,True,15389.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-10-55_16418.csv,"[nan, nan, nan]",
40,49681,2019-12-30 10:55:13.467000,False,False,,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-11-00_16419.csv,"[nan, nan, nan]",
41,49682,2019-12-30 11:00:01.467000,False,False,,True,5833.0,False,Minor,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-11-04_16420.csv,"[nan, nan, nan]",
42,49683,2019-12-30 11:04:49.467000,False,False,,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-11-09_16421.csv,"[nan, nan, nan]",
43,49684,2019-12-30 11:09:37.467000,False,False,,True,1882.0,False,Minor,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-11-14_16422.csv,"[nan, nan, nan]",
44,49685,2019-12-30 11:14:25.467000,False,True,1467.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-11-19_16423.csv,"[nan, nan, nan]",
45,49686,2019-12-30 11:19:13.467000,False,True,0.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-11-24_16424.csv,"[nan, nan, nan]",
46,49687,2019-12-30 11:24:01.467000,False,True,1494.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-11-28_16425.csv,"[nan, nan, nan]",
47,49688,2019-12-30 11:28:49.467000,False,True,0.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-11-33_16426.csv,"[nan, nan, nan]",
48,49689,2019-12-30 11:33:37.467000,False,False,,True,11695.0,False,Minor,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-11-38_16427.csv,"[nan, nan, nan]",
49,49690,2019-12-30 11:38:25.467000,False,True,9897.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-11-43_16428.csv,"[nan, nan, nan]",
50,49691,2019-12-30 11:43:13.467000,False,True,16247.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-11-48_16429.csv,"[nan, nan, nan]",
51,49692,2019-12-30 11:48:01.467000,False,True,2349.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-11-52_16430.csv,"[nan, nan, nan]",
52,49693,2019-12-30 11:52:49.467000,False,True,0.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-11-57_16431.csv,"[nan, nan, nan]",
53,49694,2019-12-30 11:57:37.467000,False,True,15950.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-12-02_16432.csv,"[nan, nan, nan]",
54,49695,2019-12-30 12:02:25.467000,False,True,14735.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-12-07_16433.csv,"[nan, nan, nan]",
55,49696,2019-12-30 12:07:13.467000,False,True,2.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-12-12_16434.csv,"[nan, nan, nan]",
56,49697,2019-12-30 12:12:01.467000,False,True,5022.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-12-16_16435.csv,"[nan, nan, nan]",
57,49698,2019-12-30 12:16:49.467000,False,False,,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-12-21_16436.csv,"[nan, nan, nan]",
58,49699,2019-12-30 12:21:37.467000,False,False,,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-12-26_16437.csv,"[nan, nan, nan]",
59,49700,2019-12-30 12:26:25.467000,False,True,2539.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-12-31_16438.csv,"[nan, nan, nan]",
60,49701,2019-12-30 12:31:13.467000,False,True,2411.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-12-36_16439.csv,"[nan, nan, nan]",
61,49702,2019-12-30 12:36:01.467000,False,True,4567.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-12-40_16440.csv,"[nan, nan, nan]",
